#Step       Time (ps)  Kinetic (Eh)    Potential (Eh)        Total (Eh)     Temp. (K)    Restraint (Eh)
 145           0.0145    0.12695787      -15.62908316      -15.50212529        314.43        0.00000000
 146           0.0146    0.11131662      -15.62858264      -15.51726602        275.69        0.00000000
 147           0.0147    0.12032417      -15.62868158      -15.50835741        298.00        0.00000000
 148           0.0148    0.12284938      -15.62908037      -15.50623099        304.26        0.00000000
 149           0.0149    0.12488948      -15.62909257      -15.50420309        309.31        0.00000000
 150           0.0150    0.09947810      -15.62801531      -15.52853720        246.37        0.00000000
 151           0.0151    0.13400321      -15.62798261      -15.49397940        331.88        0.00000000
 152           0.0152    0.12754625      -15.62857817      -15.50103192        315.89        0.00000000
 153           0.0153    0.11889612      -15.62921895      -15.51032283        294.47        0.00000000
 154           0.0154    0.10919674      -15.62945925      -15.52026251        270.44        0.00000000
 155           0.0155    0.11819426      -15.62906628      -15.51087201        292.73        0.00000000
 156           0.0156    0.12384931      -15.62927073      -15.50542142        306.73        0.00000000
 157           0.0157    0.11730951      -15.62965326      -15.51234375        290.54        0.00000000
 158           0.0158    0.11263432      -15.63033304      -15.51769872        278.96        0.00000000
 159           0.0159    0.11443956      -15.62984351      -15.51540394        283.43        0.00000000
 160           0.0160    0.12404041      -15.62970488      -15.50566447        307.21        0.00000000
 161           0.0161    0.12625487      -15.63038013      -15.50412526        312.69        0.00000000
 162           0.0162    0.13032573      -15.63104343      -15.50071770        322.77        0.00000000
 163           0.0163    0.13215356      -15.63142960      -15.49927604        327.30        0.00000000
 164           0.0164    0.11633006      -15.63166723      -15.51533717        288.11        0.00000000
 165           0.0165    0.12273586      -15.63194345      -15.50920759        303.98        0.00000000
 166           0.0166    0.11506536      -15.63161868      -15.51655332        284.98        0.00000000
 167           0.0167    0.11394562      -15.63200486      -15.51805924        282.21        0.00000000
 168           0.0168    0.12054520      -15.63213460      -15.51158940        298.55        0.00000000
 169           0.0169    0.11702436      -15.63188672      -15.51486236        289.83        0.00000000
 170           0.0170    0.12802971      -15.63144275      -15.50341303        317.09        0.00000000
 171           0.0171    0.11754398      -15.63205804      -15.51451407        291.12        0.00000000
 172           0.0172    0.10695709      -15.63198630      -15.52502921        264.90        0.00000000
 173           0.0173    0.10799785      -15.63240575      -15.52440790        267.47        0.00000000
 174           0.0174    0.11805695      -15.63266154      -15.51460459        292.39        0.00000000
 175           0.0175    0.12352588      -15.63235864      -15.50883276        305.93        0.00000000
 176           0.0176    0.12786379      -15.63239096      -15.50452717        316.68        0.00000000
 177           0.0177    0.11610505      -15.63267679      -15.51657174        287.55        0.00000000
 178           0.0178    0.13328359      -15.63255245      -15.49926886        330.10        0.00000000
 179           0.0179    0.11498975      -15.63240496      -15.51741521        284.79        0.00000000
 180           0.0180    0.11199398      -15.63253925      -15.52054527        277.37        0.00000000
 181           0.0181    0.12338625      -15.63256580      -15.50917955        305.59        0.00000000
 182           0.0182    0.12249243      -15.63221508      -15.50972265        303.37        0.00000000
 183           0.0183    0.11348881      -15.63249848      -15.51900967        281.07        0.00000000
 184           0.0184    0.11394547      -15.63257588      -15.51863040        282.20        0.00000000
 185           0.0185    0.11958701      -15.63315048      -15.51356347        296.18        0.00000000
 186           0.0186    0.11955058      -15.63306513      -15.51351455        296.09        0.00000000
 187           0.0187    0.12329258      -15.63322738      -15.50993480        305.35        0.00000000
 188           0.0188    0.12168125      -15.63339428      -15.51171304        301.36        0.00000000
 189           0.0189    0.10144696      -15.63343433      -15.53198737        251.25        0.00000000
 190           0.0190    0.11027127      -15.63285908      -15.52258782        273.11        0.00000000
 191           0.0191    0.11905301      -15.63311144      -15.51405843        294.85        0.00000000
 192           0.0192    0.13347860      -15.63221839      -15.49873979        330.58        0.00000000
 193           0.0193    0.14862634      -15.63223476      -15.48360842        368.10        0.00000000
 194           0.0194    0.11318232      -15.63196537      -15.51878305        280.31        0.00000000
 195           0.0195    0.11335330      -15.63188063      -15.51852733        280.74        0.00000000
 196           0.0196    0.13294627      -15.63258025      -15.49963398        329.26        0.00000000
 197           0.0197    0.11803580      -15.63233951      -15.51430371        292.34        0.00000000
 198           0.0198    0.11919582      -15.63195402      -15.51275820        295.21        0.00000000
 199           0.0199    0.11957182      -15.63161774      -15.51204591        296.14        0.00000000
 200           0.0200    0.12400162      -15.63175790      -15.50775628        307.11        0.00000000
 201           0.0201    0.12867163      -15.63208825      -15.50341662        318.68        0.00000000
 202           0.0202    0.11692363      -15.63251466      -15.51559103        289.58        0.00000000
 203           0.0203    0.11518628      -15.63270665      -15.51752037        285.28        0.00000000
 204           0.0204    0.13100319      -15.63264236      -15.50163917        324.45        0.00000000
 205           0.0205    0.11793243      -15.63206099      -15.51412855        292.08        0.00000000
 206           0.0206    0.11139365      -15.63206994      -15.52067628        275.88        0.00000000
 207           0.0207    0.12094309      -15.63189397      -15.51095088        299.54        0.00000000
 208           0.0208    0.13346701      -15.63109057      -15.49762356        330.55        0.00000000
 209           0.0209    0.12906929      -15.63148538      -15.50241609        319.66        0.00000000
 210           0.0210    0.10499462      -15.63109135      -15.52609673        260.04        0.00000000
 211           0.0211    0.13190985      -15.63107415      -15.49916430        326.70        0.00000000
 212           0.0212    0.11438014      -15.63103435      -15.51665420        283.28        0.00000000
 213           0.0213    0.12986040      -15.63100597      -15.50114557        321.62        0.00000000
 214           0.0214    0.11231466      -15.63094167      -15.51862701        278.17        0.00000000
 215           0.0215    0.11090800      -15.63061815      -15.51971015        274.68        0.00000000
 216           0.0216    0.11848279      -15.63036168      -15.51187889        293.44        0.00000000
 217           0.0217    0.13096124      -15.63074381      -15.49978257        324.35        0.00000000
 218           0.0218    0.12006296      -15.63019037      -15.51012742        297.36        0.00000000
 219           0.0219    0.11226708      -15.63001634      -15.51774926        278.05        0.00000000
 220           0.0220    0.13327537      -15.63010937      -15.49683401        330.08        0.00000000
 221           0.0221    0.10447885      -15.62960005      -15.52512120        258.76        0.00000000
 222           0.0222    0.11679482      -15.62911050      -15.51231567        289.26        0.00000000
 223           0.0223    0.12425021      -15.62860994      -15.50435973        307.73        0.00000000
 224           0.0224    0.12132788      -15.62899351      -15.50766563        300.49        0.00000000
 225           0.0225    0.13799830      -15.62880347      -15.49080517        341.78        0.00000000
 226           0.0226    0.11855431      -15.62852041      -15.50996610        293.62        0.00000000
 227           0.0227    0.11021980      -15.62825305      -15.51803325        272.98        0.00000000
 228           0.0228    0.11913603      -15.62870327      -15.50956724        295.06        0.00000000
 229           0.0229    0.12294371      -15.62872884      -15.50578513        304.49        0.00000000
 230           0.0230    0.11165781      -15.62882081      -15.51716301        276.54        0.00000000
 231           0.0231    0.10848766      -15.62890494      -15.52041728        268.69        0.00000000
 232           0.0232    0.12541424      -15.62952272      -15.50410848        310.61        0.00000000
 233           0.0233    0.11809542      -15.62971220      -15.51161678        292.48        0.00000000
